reference,OD ,pvb,urea ,  ca,pvc,diameter,time,usc 
1,1.5,1.5,0.1,0.1,1,0.28,24,50
1,1.5,1.5,0.25,0.25,1,0.28,24,75
1,1.5,1.5,0.46,0.25,1,0.28,24,110
1,1.5,1.5,0.25,0.5,1,0.28,24,80
1,1.5,1.5,1,0.5,1,0.28,24,180
1,1.5,1.5,1.85,1,1,0.28,24,240
1,0.8,1.5,1,0.5,1,0.28,24,200
1,0.8,1.5,1,0.5,1,0.28,24,110
1,0.8,1.5,1,0.5,1,0.34,24,168
1,3,1.5,1,0.5,1,0.34,24,119
1,1.5,1.5,1,0.5,1,0.34,24,150
2,0.543,0.5,1,1,1.5,0.25,48,200
2,2.4,0.5,0.25,0.25,1.5,0.25,48,400
2,1.033,0.5,1,1,1.5,0.25,48,200
2,0.543,0.5,0.25,0.25,1.5,0.25,48,150
2,1.033,0.5,0.25,0.25,1.5,0.25,48,180
3,1.5,0.37,1.1,1.1,0.5,0.165,127,300
4,2,0.57,0.5,0.5,0.57,0.15,24,1000
4,2,0.57,1,1,0.57,0.15,24,1210
4,2,0.57,1.5,1.5,0.57,0.15,24,1620
4,2,0.57,2,2,0.57,0.15,24,3200
5,1.5,1.5,1.5,0.75,1.5,0.32,48,200
5,1.5,1.5,1.5,1.5,1.5,0.32,48,450
5,1.5,1.5,3,1.5,1.5,0.32,48,500
5,2.5,1.5,1.5,0.75,1.5,0.32,48,600
5,2.5,1.5,1.5,1.5,1.5,0.32,48,500
5,2.5,1.5,3,1.5,1.5,0.32,48,350
5,4,1.5,1.5,0.75,1.5,0.32,48,380
5,4,1.5,1.5,1.5,1.5,0.32,48,500
5,4,1.5,3,1.5,1.5,0.32,48,800
6,3.2,0.5,1,1,1.5,1.6,48,2000
6,3.2,1,1,1,3,1.6,96,3800
7,0.33,1,0.25,0.25,1,NA,24,191
7,0.33,1,0.5,0.5,1,NA,24,235
7,0.33,1,0.75,0.75,1,NA,24,215
7,0.33,1,1,1,1,NA,24,210
7,0.33,1,0.25,0.25,1,NA,72,228
7,0.33,1,0.5,0.5,1,NA,72,291
7,0.33,1,0.75,0.75,1,NA,72,257
7,0.33,1,1,1,1,NA,72,218
7,0.33,1,0.25,0.25,1,NA,24,159
7,0.33,1,0.5,0.5,1,NA,24,174
7,0.33,1,0.75,0.75,1,NA,24,162
7,0.33,1,1,1,1,NA,24,147
7,0.33,1,0.25,0.25,1,NA,72,161
7,0.33,1,0.5,0.5,1,NA,72,192
7,0.33,1,0.75,0.75,1,NA,72,189
7,0.33,1,1,1,1,NA,72,157
8,1,1,0.25,0.25,12,0.2,144,3500
8,1,1,0.5,0.5,6,0.2,144,3500
8,1,1,1,1,3,0.2,144,1500
8,1,1,0.25,0.25,12,0.2,288,4100
8,1,1,0.5,0.5,6,0.2,288,4100
8,1,1,1,1,3,0.2,288,2000
9,0.3,1,0.5,0.5,1,0.46,120,400
9,0.6,1,0.5,0.5,1,0.46,120,1350
9,0.9,1,0.5,0.5,1,0.46,120,1500
9,1.2,1,0.5,0.5,1,0.46,120,1700
9,1.5,1,0.5,0.5,1,0.46,120,2000
9,0.6,1,0.25,0.25,1,0.46,120,100
9,0.6,1,0.5,0.5,1,0.46,120,1300
9,0.6,1,1,1,1,0.46,120,2000
9,0.6,1,1.5,1.5,1,0.46,120,2100
9,0.6,1,0.5,0.5,1,0.46,72,550
9,0.6,1,0.5,0.5,1,0.46,120,900
9,0.6,1,0.5,0.5,1,0.46,168,1300
10,1,1,0.2,0.1,2,0.72,12,127
10,1,1,0.3,0.1,2,0.72,12,257
10,1,1,0.3,0.1,2,0.2,12,120
11,3,1.666,1,1,8.333,0.065,16,400
11,3,1.666,1,1,8.333,0.06,16,200
11,3,1.666,1,1,8.333,0.05,16,200
11,3,1.666,1,1,16.7,0.065,32,1700
11,3,1.666,1,1,16.7,0.06,32,1500
11,3,1.666,1,1,16.7,0.05,32,1300
12,1.2,NA,1,1,1,0.15,108,333
12,1.2,NA,1,1,1,0.16,108,380
13,0.8,0.5,1,1,0.5,0.425,24,325
14,1.75,1,1,1,2,0.687,24,1980
15,0.6,1,0.25,0.25,1,0.47,168,540
15,0.6,1,0.5,0.5,1,0.47,168,1110
15,0.6,1,0.75,0.75,1,0.47,168,1870
